name,latitude,longitude,x_grid,y_grid
hortpark,1.2787362,103.8018322,39,41
bukit batok nature park,1.3484689,103.7639114,31,25
maritime experiential museum & aquarium,1.2582411,103.8205111,43,45
tanjong beach,1.243299,103.828128,45,48
s.e.a aquarium,1.258369,103.82047,43,45
istana,1.306996,103.8430853,48,34
yishun stadium,1.4117246,103.8312597,46,11
dairy farm nature park,1.3618794,103.7753145,33,22
singapore art museum,1.2973072,103.8510615,50,36
bukit batok town park,1.3567559,103.7536228,29,23
thian hock keng temple,1.2810871,103.8474767,49,40
victoria theatre and concert hall,1.2883375,103.8518126,50,38
river safari,1.4029491,103.7917411,37,13
bishan-ang mo kio park,1.3634088,103.8435614,48,22
macritchie reservoir,1.3447621,103.8223506,44,26
people's park complex,1.2842974,103.8427322,48,39
wild wild wet,1.3773814,103.9543187,73,19
night safari,1.4021872,103.7880606,36,13
festive grand theatre,1.2494041,103.8303209,45,47
padang,1.2905564,103.8530438,50,38
labrador park,1.2674872,103.801682,39,43
malay heritage centre,1.30275,103.8600008,52,35
raffles city convention centre,1.2939556,103.8533468,50,37
peranakan museum,1.2943669,103.8490391,50,37
mustafa centre,1.310116,103.855366,51,34
star performing arts centre,1.306895,103.788483,36,34
changi exhibition centre,1.3640239,104.0222722,88,22
liang court,1.2915874,103.8447075,49,38
science centre singapore,1.3332332,103.7362246,25,29
suntec convention centre,1.2936854,103.8572793,51,37
tanjong pagar railway station,1.272992,103.838635,47,42
novena mrt station,1.3204301,103.8438181,48,31
dover mrt station,1.311322,103.7786532,34,33
ubi mrt station,1.3298687,103.900048,61,29
boon keng mrt station,1.3198587,103.8618306,52,31
somerset mrt station,1.3005915,103.838529,47,36
redhill mrt station,1.2896276,103.8167623,42,38
tanjong rhu mrt station,1.301046,103.883717,57,36
prince edward mrt station,1.273262,103.847308,49,42
bras basah mrt station,1.2969443,103.8507941,50,37
nicoll highway mrt station,1.3023492,103.8656834,53,35
beauty world mrt station,1.3416921,103.775966,33,27
bugis mrt station,1.3010989,103.8561152,51,36
little india mrt station,1.3062896,103.8493919,50,34
marine parade mrt station,1.3263,103.8304146,45,30
havelock mrt station,1.288238,103.833603,46,38
maxwell mrt station,1.276747,103.8451151,49,41
sengkang mrt station,1.3915277,103.8954161,60,16
outram park mrt station,1.2814585,103.8391464,47,40
changi airport mrt station,1.3644202,103.9915308,81,22
upper thomson mrt station,1.3728883,103.8285113,45,20
kembangan mrt station,1.321049,103.912909,64,31
aljunied mrt station,1.3164325,103.882906,57,32
pasir panjang mrt station,1.2760331,103.7919041,37,41
bukit brown mrt station,1.3361057,103.8229846,44,28
commonwealth mrt station,1.3024476,103.7982907,38,35
tampines mrt station,1.3495907,103.9567879,73,25
pasir ris mrt station,1.3720937,103.9473728,71,20
bedok north mrt station,1.3236038,103.9273405,67,31
tai seng mrt station,1.3359176,103.8876833,58,28
raffles place mrt station,1.2840999,103.8513269,50,39
khatib mrt station,1.4173489,103.8330221,46,10
chinatown mrt station,1.2847875,103.8439312,48,39
potong pasir mrt station,1.3311575,103.8690734,54,29
esplanade mrt station,1.293436,103.855381,51,37
labrador park mrt station,1.2722052,103.8024245,39,42
pioneer mrt station,1.3373141,103.6968636,16,28
kranji mrt station,1.4251684,103.7619192,30,8
bartley mrt station,1.3423252,103.8802484,56,27
jurong east mrt station,1.3328572,103.7435522,26,29
siglap mrt station,1.313587,103.923105,66,33
marina south pier mrt station,1.2709313,103.8634015,53,42
lavender mrt station,1.3072265,103.862951,53,34
bukit gombak mrt station,1.3590369,103.7518278,28,23
clarke quay mrt station,1.2906024,103.8464742,49,38
bedok mrt station,1.3236038,103.9273405,67,31
tanjong katong mrt station,1.3083201,103.897576,60,34
king albert park mrt station,1.3357575,103.7831752,35,28
admiralty mrt station,1.4405862,103.800975,39,5
bencoolen mrt station,1.2988643,103.8503843,50,36
bayfront mrt station,1.2813448,103.8589484,52,40
braddell mrt station,1.3404334,103.8468013,49,27
farrer park mrt station,1.3124557,103.8548207,51,33
tan kah kee mrt station,1.3253631,103.8077988,40,30
gardens by the bay mrt station,1.2815683,103.8636132,53,40
punggol mrt station,1.3984457,103.9072046,62,14
kovan mrt station,1.3599937,103.8853009,57,23
geylang bahru mrt station,1.3237331,103.8683218,54,31
marymount mrt station,1.3485243,103.8394989,47,25
orchard boulevard mrt station,1.3735716,103.7984607,38,20
sungei bedok mrt station,1.3201731,103.9568273,73,31
marina bay mrt station,1.2764274,103.8545978,51,41
serangoon mrt station,1.3553567,103.8678708,54,24
buangkok mrt station,1.3830715,103.8931105,59,18
cantonment mrt station,1.272992,103.838635,47,42
tampines west mrt station,1.3487786,103.935734,69,25
boon lay mrt station,1.3385559,103.7058277,18,27
bukit batok mrt station,1.3590288,103.7636796,31,23
telok blangah mrt station,1.2706894,103.8098756,41,42
joo koon mrt station,1.3277507,103.6783297,12,30
yew tee mrt station,1.3973811,103.7475,27,14
woodleigh mrt station,1.3389179,103.8704719,54,27
hougang mrt station,1.3612182,103.8862529,58,22
kent ridge mrt station,1.292524,103.784902,35,38
haw par villa mrt station,1.2835657,103.7816432,35,39
tuas link mrt station,1.3403171,103.6368663,3,27
paya lebar mrt station,1.3516087,103.899516,61,24
woodlands mrt station,1.436955,103.7864845,36,6
dakota mrt station,1.3079962,103.8880879,58,34
queenstown mrt station,1.2952659,103.8056329,40,37
holland village mrt station,1.3111325,103.7961377,38,33
harbourfront mrt station,1.2659167,103.8209079,43,43
kallang mrt station,1.3100334,103.8651056,53,34
marsiling mrt station,1.4325197,103.774119,33,7
xilin mrt station,1.3288787,103.9648084,75,29
buona vista mrt station,1.3073194,103.7899422,36,34
expo mrt station,1.3352467,103.9619976,74,28
farrer road mrt station,1.3175815,103.8077576,40,32
lorong chuan mrt station,1.3514809,103.8646643,53,25
stevens mrt station,1.3200527,103.8258215,44,31
telok ayer mrt station,1.2811232,103.8478471,49,40
lakeside mrt station,1.3442374,103.7207253,21,26
tanah merah mrt station,1.327276,103.946541,71,30
choa chu kang mrt station,1.3839803,103.7469611,27,17
promenade mrt station,1.2938528,103.860021,52,37
mountbatten mrt station,1.3061938,103.882547,57,35
tanjong pagar mrt station,1.2764031,103.8468585,49,41
downtown mrt station,1.279467,103.8524576,50,40
cashew mrt station,1.3699218,103.7645493,31,20
bishan mrt station,1.3525845,103.8352116,46,24
tampines east mrt station,1.3533483,103.9546705,73,24
simei mrt station,1.3399194,103.949471,72,27
clementi mrt station,1.3151606,103.765206,31,33
ang mo kio mrt station,1.3691149,103.8454342,49,21
yio chu kang mrt station,1.3817576,103.8448008,49,18
botanic gardens mrt station,1.3221102,103.8149828,42,31
orchard mrt station,1.3045879,103.8319307,46,35
dhoby ghaut mrt station,1.2997055,103.8454882,49,36
caldescott mrt station,1.337691,103.839552,47,28
bedok south mrt station,1.3240113,103.9301725,67,31
sixth avenue mrt station,1.3312349,103.7968943,38,29
yishun mrt station,1.430368,103.8353628,46,7
kaki bukit mrt station,1.334927,103.909016,63,28
woodlands north mrt station,1.4497204,103.7850973,35,3
marine terrace mrt station,1.3263,103.8304146,45,30
lentor mrt station,1.3842975,103.8370838,47,17
tuas west road mrt station,1.3325802,103.6405559,4,29
gul circle mrt station,1.319846,103.6694219,10,31
marina south mrt station,1.2713951,103.8636337,53,42
newton mrt station,1.3136071,103.837811,47,33
woodlands south mrt station,1.427337,103.7932308,37,8
stadium mrt station,1.3025028,103.8745655,55,35
mattar mrt station,1.3272214,103.8828949,57,30
upper changi mrt station,1.3450101,103.9832089,79,26
canberra mrt station,1.443806,103.829185,45,4
chinese garden mrt station,1.3423597,103.7325541,24,27
rochor mrt station,1.3051345,103.8509134,50,35
hillview mrt station,1.3621275,103.7670071,31,22
eunos mrt station,1.3197777,103.9028587,61,32
jalan besar mrt station,1.3085592,103.8573369,51,34
tuas crescent mrt station,1.3178201,103.6396998,3,32
tiong bahru mrt station,1.2865598,103.8247352,44,39
shenton way mrt station,1.2757729,103.8479732,49,41
city hall mrt station,1.2930893,103.8519267,50,37
fort canning mrt station,1.2941149,103.8463071,49,37
bukit panjang mrt station,1.3774142,103.7719498,33,19
macpherson mrt station,1.3267424,103.8898817,58,30
bedok reservoir mrt station,1.3413025,103.9245499,66,27
sembawang mrt station,1.4491107,103.8184954,43,3
one-north mrt station,1.299932,103.787442,36,36
toa payoh mrt station,1.3343035,103.8563265,51,28
bendemeer mrt station,1.3136722,103.862978,53,33
